packet_count,byte_count,duration,syn_count,label,packets_per_second,bytes_per_second,syn_ratio
29,6897,4.282964283768258,1,NORMAL,6.77101140205752,1610.3332979307145,0.034482758620689655
38,2087,7.090943153415287,1,NORMAL,5.358948616263783,294.3190990037504,0.02631578947368421
20,5318,9.865515180395946,2,NORMAL,2.0272636181983263,539.049396078935,0.1
13,3768,9.457507315676912,0,NORMAL,1.3745693834622783,398.4136489912204,0.0
31,3663,5.416115056216962,0,NORMAL,5.723659796410016,676.3150269112867,0.0
2,814,7.666808405898117,2,NORMAL,0.2608647424215517,106.17195016557156,1.0
19,1806,7.575537292323842,0,NORMAL,2.5080729282730037,238.3989320242655,0.0
24,4271,6.917580021643354,2,NORMAL,3.469421376393202,617.4124457739736,0.08333333333333333
16,5678,3.6887890181755334,2,NORMAL,4.337466827504698,1539.2585404107297,0.125
24,3626,7.546292167598037,0,NORMAL,3.1803698381902343,480.50087638657453,0.0
8,1292,2.2433513745644533,0,NORMAL,3.566093163427508,575.9240458935426,0.0
6,7512,1.2773393867860225,0,NORMAL,4.697263751567936,5880.974216963057,0.0
35,3218,9.460729462667787,2,NORMAL,3.6995033140003257,340.1429046986585,0.05714285714285714
36,9523,5.173295537569741,0,NORMAL,6.9588137268708445,1840.7995311386403,0.0
26,5997,4.754850910158068,1,NORMAL,5.468099944933009,1261.2382834524328,0.038461538461538464
31,7116,5.788979618849279,2,NORMAL,5.355002442755553,1229.232173633823,0.06451612903225806
27,2601,1.3083266782695913,0,NORMAL,20.63704764907074,1988.0355901938146,0.0
8,4328,3.5652701188057474,0,NORMAL,2.2438692534970524,1213.9332661419053,0.0
39,6931,4.154901236952186,1,NORMAL,9.386504702722688,1668.150361399255,0.02564102564102564
40,4148,2.529021025515782,1,NORMAL,15.816396778212702,1640.1603459006571,0.025
48,8599,5.44605765396778,2,NORMAL,8.8137149934557,1578.940317265116,0.041666666666666664
28,2813,0.5803619696586798,2,NORMAL,48.24575258862542,4846.975072564404,0.07142857142857142
14,8846,8.864951625545837,2,NORMAL,1.5792528364911393,997.8621851143299,0.14285714285714285
28,3865,4.523293404345871,0,NORMAL,6.190179919148794,854.4659066967889,0.0
23,9557,2.909579994965205,2,NORMAL,7.904920998838203,3284.6665211259437,0.08695652173913043
23,5122,6.102183897048995,1,NORMAL,3.769142390337131,839.371622752469,0.043478260869565216
2,4495,4.468718450038803,1,NORMAL,0.4475556073537445,1005.8812275275408,0.5
24,8740,2.3585915512146616,0,NORMAL,10.17556430558743,3705.6013346180894,0.0
26,7309,3.985302552233755,2,NORMAL,6.5239714323388185,1833.9887384217086,0.07692307692307693
32,4121,5.116978515154551,0,NORMAL,6.253690513889814,805.3580814918727,0.0
33,5871,0.8733334844632408,0,NORMAL,37.78625300309208,6722.517920641018,0.0
8,2464,6.021688945878153,1,NORMAL,1.3285309274362305,409.187525650359,0.125
26,3517,2.510068683631704,0,NORMAL,10.358282293049362,1401.1568778713308,0.0
12,4197,5.803870175857035,0,NORMAL,2.067585875700262,723.1381600261666,0.0
7,359,6.199769713214512,1,NORMAL,1.1290741953011312,57.90537658758658,0.14285714285714285
